2016a Teams,2016b Teams,New Team,Starting Elo,
Balcatta Bandits,Balcatta Bandits,Old Team,1061.626503,
Patrick Bateman,Patrick Bateman,Old Team,1022.933876,
Churchlands Hellraisers,Churchlands Hellraisers,Old Team,962.7363267,
,Chicken Wingthrop,New Team,955.4393896,
Como Mo Co,Como Mo Co,Old Team,953.8934248,
The Swanbourne Identity,The Swanbourne Supremacy,Old Team,948.0541736,
Bicton Banter Lords,Bicton Banter Lords,Old Team,945.5937149,
Mindarie molotovs,Mindarie Molotovs,Old Team,817.3256283,
Greenmount Doom,Greenmount Doom,Old Team,936.0503145,
Morley Puck Troopers,Morley Puck Troopers,Old Team,817.3256283,
Maylands Muthapuckas,Maylands Muthapuckas,Old Team,912.625509,
Swan View Draught,Swan View Draught,Old Team,910.8838965,
GMLA Guardians,GMLA Guardians,Old Team,905.1018618,
,Mount Lawless Low Lives,New Team,600,
Riverton Regretzkys,Riverton ReGretzkys,Old Team,897.2846926,
Mullaloozers,Mullaloozers,Old Team,894.9925429,
Rollerburger Leedervillains,Rollerburger Leedervillains,Old Team,892.8159437,
GMLA Angels,GMLA Angels,Old Team,889.6099159,
K-Town Cooks,K-Town Cooks,Old Team,888.468408,
Labia Menora Explorers,Labia Menora Explorers,Old Team,879.3887674,
,Northbridge Jack Rabbit Nosebleeds,New Team,866.9839482,
Claremont Cereal Killahs,Claremont Cereal Killahs,Old Team,859.3335464,
Ocean Beef,Ocean Beef,Old Team,840.8814849,
Mt Pleasant Mounties,Mt Pleasant Mounties,Old Team,840.4598564,
Canning Bridge Trolls,Canning Bridge Trolls,Old Team,835.2032932,
How Much Wood Would A Parkwood Park If A Parkwood Could Park Wood,How Much Wood Would A Parkwood Park If A Parkwood Could Park Wood,Old Team,832.0177638,
Kensington Kermits,Victoria Park Bitters,Old Team,825.1913724,
Innaloominati,Innaloominati,Old Team,817.3256283,
,Whitby White Walkers,New Team,816.0890209,
Bayswater Croquet Club,Bayswater Croquet Club,Old Team,811.4854926,
Black Wall Reach Arounds,Black Wall Reach Arounds,Old Team,809.1949712,
Yokine Reservoir Dogs,Claremonty Pythons,Old Team,808.5278707,
Northbridge MDM8s,Northbridge MDM8s,Old Team,797.93319,
Wembley Food Courts,Wembley Food Courts,Old Team,797.8717546,
Doubleview Double Yewws,Doubleview Double Yewws,Old Team,777.0326223,
Swanbourne Nudists,Swanbourne Nudists,Old Team,774.7531637,
Wembley Blue Light Discos,Wembley Blue Light Discos,Old Team,773.5718062,
Dog Swamp Swamp Dogs,Dog Swamp Swamp Dogs,Old Team,767.2253185,
Manning Manchilds,Manning Manchilds,Old Team,767.142913,
Dianella Demons,Dianella Demons,Old Team,764.5150209,
Scarborough Scar Bros,Scarborough Scar Bros,Old Team,762.7952258,
Bayslaughter House 5,BaySlaughter House 5,Old Team,760.5300067,
,Mt Lawley Long Pucchiatos,New Team,550,
,Beaufort Street Hookahs,New Team,800,
,Baldivis Reapers,New Team,680,
,Bayswater Marauder Otters,New Team,700,
,Bicton Bath Salts,New Team,780.2185201,
,Bull Creek Buttchuggers,New Team,640,
,Belmont Poon Bears,New Team,840,
,Belmontgomery Burns,New Team,644.1584463,
,C. Montgomery Cockburns,New Team,600,
,City Beach Don't Kill My Vibe,New Team,620,
,F.I.R.E.,New Team,640,
,Iluka Underground,New Team,817.3256283,
,Karrinyup Puck Buddies,New Team,600,
,Leederville Green Cocks,New Team,700,
,Melville Mighty Pucks,New Team,700,
,Morley Flying Hellfish,New Team,817.3256283,
,Osborne Trailer Puck Boys,New Team,700,
,Paddington Bears,New Team,660,
,Parkerville Drop Bears,New Team,600,
,Perth City Misfits,New Team,680,
,Perth Flayva Flavs,New Team,680,
,Subiaco Slap Shots,New Team,760.5300067,
,The Fresh Prince of Beeliar,New Team,640,
,Winthrop Multiple Scoregasms,New Team,680,
Lake Mongrels,Lake Mongrels,Old Team,735.416111,
Inglewood Coldcuts,Inglewood Coldcuts,Old Team,728.4760842,
Marmion Mighty Drunks,Marmion Mighty Drunks,Old Team,722.9534159,
Subiaco Silkworms,Subiaco Silkworms,Old Team,722.5846002,
GMLA Jurassic Pucks,GMLA Jurassic Pucks,Old Team,721.7334954,
Scarbara Kadabra,Scarbara Kadabra,Old Team,718.9985656,
