,Home Team,Away Team,Game Code
0,Mandurah Bukkhockey,Worship Skatan: Highgates of Hell,Mandurah Bukkhockey vs Worship Skatan: Highgates of Hell
1,Doubleview Dingleberries,Maylands Before Time,Doubleview Dingleberries vs Maylands Before Time
2,North Perth Bald Beavers,Mirrabooker T's,North Perth Bald Beavers vs Mirrabooker T's
3,St Georges Terrors,RiverVale River Vixens,St Georges Terrors vs RiverVale River Vixens
4,Myaree Mighty Moles,Bob Rossmoyne,Myaree Mighty Moles vs Bob Rossmoyne
5,Karrinyup Puck Buddies,Innaloominati,Karrinyup Puck Buddies vs Innaloominati
6,Bull Creek Buttchuggers,Churchlands Sea Urchins,Bull Creek Buttchuggers vs Churchlands Sea Urchins
7,CCCP,Churchlands Hellraisers,CCCP vs Churchlands Hellraisers
8,Vic Park Gon' Ageev it to Ya,Noranda Naruto Runners,Vic Park Gon' Ageev it to Ya vs Noranda Naruto Runners
9,Claremonty Pythons,Northbridge MDM8s,Claremonty Pythons vs Northbridge MDM8s
10,Kalamunda Hillbillies,Rottnest Rum Hams,Kalamunda Hillbillies vs Rottnest Rum Hams
11,Don't Go Chasing Waterford's,TrashField,Don't Go Chasing Waterford's vs TrashField
12,Aurora Morleyalis,Perthhub: two girls one puck,Aurora Morleyalis vs Perthhub: two girls one puck
13,Bayswater Marauder Otters,50 Shades of Graylands,Bayswater Marauder Otters vs 50 Shades of Graylands
14,Kanye Westminster,North Perth King Pins,Kanye Westminster vs North Perth King Pins
15,Hillarys Humpbacks,Dianella Dalai Llamas,Hillarys Humpbacks vs Dianella Dalai Llamas
16,Bayswater Barracudas,Floreat Frenchies,Bayswater Barracudas vs Floreat Frenchies
17,The Fresh Prince of Beel-iar,Get Bentley,The Fresh Prince of Beel-iar vs Get Bentley
18,Angelina Jolimont Womb Raiders,Perth Glory Holez,Angelina Jolimont Womb Raiders vs Perth Glory Holez
19,Belmontgomery Burns,Warwick and Morty,Belmontgomery Burns vs Warwick and Morty
20,Mount Hawt'n'horny,Redcliffe Reds,Mount Hawt'n'horny vs Redcliffe Reds
21,Jeremy Clarkson,Mount Hawthorn Roughheads,Jeremy Clarkson vs Mount Hawthorn Roughheads
22,Manning Tatum,Stoneville Sloths,Manning Tatum vs Stoneville Sloths
23,GMLA Jurassic Pucks,Scar Bros,GMLA Jurassic Pucks vs Scar Bros
24,Maylands Muthapuckas,St James McHales,Maylands Muthapuckas vs St James McHales
25,Kraft Singlewood,Royal Perth Lil Yachty Club,Kraft Singlewood vs Royal Perth Lil Yachty Club
26,North Perth Nighthawks,Paris Hiltons,North Perth Nighthawks vs Paris Hiltons
27,All Australind Adventures,Canning Bridge Trolls,All Australind Adventures vs Canning Bridge Trolls
28,Rocko Rodents,Shorty get chidlow low low low low low low low,Rocko Rodents vs Shorty get chidlow low low low low low low low
29,Rottnest Holy Quokkamoles,"South Perth Sam's Green Eggs and Ham: Creedance HarambÃ¦yswater Revival II: Electric Boogaloo: This Time, It's Personal: Battle of the Colons","Rottnest Holy Quokkamoles vs South Perth Sam's Green Eggs and Ham: Creedance HarambÃ¦yswater Revival II: Electric Boogaloo: This Time, It's Personal: Battle of the Colons"
30,Ledahosens,Victoria Park Bitters,Ledahosens vs Victoria Park Bitters
31,Paddington Bears,Darch Vaders,Paddington Bears vs Darch Vaders
32,Chick Park,City Beach Don't Kill My Vibe,Chick Park vs City Beach Don't Kill My Vibe
33,Wembley Food Courts,Booragoonbagz,Wembley Food Courts vs Booragoonbagz
34,The Wizards of the Guildford,Chicken Wingthrop,The Wizards of the Guildford vs Chicken Wingthrop
35,Belmont Poon Bears,Mirrabooka Dealers,Belmont Poon Bears vs Mirrabooka Dealers
36,Padbury Puck 'er Up Boys,Cockburn Coneheads,Padbury Puck 'er Up Boys vs Cockburn Coneheads
37,Cockburn Comrades,Subi-hack-o,Cockburn Comrades vs Subi-hack-o
38,North Beach Bearded Clams,East Freo Bae Blades,North Beach Bearded Clams vs East Freo Bae Blades
39,Kenwick Lamars,Balingup Bruisers,Kenwick Lamars vs Balingup Bruisers
40,Inglewood Bin Chickens,Dianella Gonna Give You Up,Inglewood Bin Chickens vs Dianella Gonna Give You Up
41,Morley Puck Troopers,Bicton Passive Aggressive Lords,Morley Puck Troopers vs Bicton Passive Aggressive Lords
42,Bateman Begins,Parkerville Puckman,Bateman Begins vs Parkerville Puckman
43,TRIGGERED BEACH,High Wycombe Hustlers,TRIGGERED BEACH vs High Wycombe Hustlers
44,Mount Helena Meese,Carmel Clout,Mount Helena Meese vs Carmel Clout
45,Kalamunda Cooked-aburras,Triggerlypuffs,Kalamunda Cooked-aburras vs Triggerlypuffs
