,Home Team,Away Team,Game Code
0,Willa G-Bangers,Subi Crack Hoes,Willa G-Bangers vs Subi Crack Hoes
1,Midland Maidens,Cruellas De Leederville,Midland Maidens vs Cruellas De Leederville
2,Perth Wildpucks,Fremantle Cappuccino Strippers,Perth Wildpucks vs Fremantle Cappuccino Strippers
3,Chaigate Lattes,Como Como Como Como Como Chameleons,Chaigate Lattes vs Como Como Como Como Como Chameleons
4,"Puck Bitches, Get Manning",Yokine Ono,"Puck Bitches, Get Manning vs Yokine Ono"
5,Waikiki's Delivery Service,Ardross and the Order of the Schnips,Waikiki's Delivery Service vs Ardross and the Order of the Schnips
6,Northbridge Viet Hoes,Waikiki's Delivery Service,Northbridge Viet Hoes vs Waikiki's Delivery Service
7,Midland Maidens,Willa G-Bangers,Midland Maidens vs Willa G-Bangers
8,Cruellas De Leederville,Perth Wildpucks,Cruellas De Leederville vs Perth Wildpucks
9,Fremantle Cappuccino Strippers,Chaigate Lattes,Fremantle Cappuccino Strippers vs Chaigate Lattes
10,"Puck Bitches, Get Manning",Northbridge Viet Hoes,"Puck Bitches, Get Manning vs Northbridge Viet Hoes"
11,Subi Crack Hoes,Yokine Ono,Subi Crack Hoes vs Yokine Ono
12,Ardross and the Order of the Schnips,Como Como Como Como Como Chameleons,Ardross and the Order of the Schnips vs Como Como Como Como Como Chameleons
